distance,physical_error_rate,active_qubits,detectors,matching_edges,logical_errors,shots,replicas,logical_error_rate,ci95_low,ci95_high,total_elapsed_sec
3,0.001,17,24,78,302,400000,4,0.000755,0.0006745394094270907,0.0008450499964362557,0.23590707778930664
3,0.00153413,17,24,78,710,400000,4,0.001775,0.0016492491903628804,0.0019103206235286275,0.2564210891723633
3,0.00235355,17,24,78,1685,400000,4,0.0042125,0.004016491204623198,0.004418031790217961,0.2774670124053955
3,0.00361064,17,24,78,3781,400000,4,0.0094525,0.009157302809484973,0.009757119536402821,0.34346699714660645
3,0.00553918,17,24,78,8524,400000,4,0.02131,0.020867027053828043,0.02176216753538713,0.44865870475769043
3,0.00849781,17,24,78,18114,400000,4,0.045285,0.04464497818269086,0.04593375589914702,0.6168975830078125
3,0.01303673,17,24,78,36762,400000,4,0.091905,0.09101363006948684,0.09280420854399113,0.9658112525939941
3,0.02,17,24,78,69241,400000,4,0.1731025,0.17193316593672658,0.17427811305015,1.3007159233093262
5,0.001,49,120,502,52,400000,4,0.00013,9.914411446328283e-05,0.00017045729628476836,1.156775951385498
5,0.00153413,49,120,502,204,400000,4,0.00051,0.00044466498955370286,0.0005849291222244479,1.268404245376587
5,0.00235355,49,120,502,689,400000,4,0.0017225,0.0015986886132548007,0.001855882209047022,1.5255589485168457
5,0.00361064,49,120,502,2271,400000,4,0.0056775,0.005449354422267588,0.005915140433123822,1.9947714805603027
5,0.00553918,49,120,502,7676,400000,4,0.01919,0.018769431089827666,0.019619804219956422,4.692078351974487
5,0.00849781,49,120,502,22842,400000,4,0.057105,0.05639013525405681,0.05782837179140153,4.61122989654541
5,0.01303673,49,120,502,59273,400000,4,0.1481825,0.14708485231993204,0.14928690532570751,7.462216138839722
5,0.02,49,120,502,121850,400000,4,0.304625,0.3032005573434251,0.3060531953835337,10.58794617652893
7,0.001,97,336,1558,7,400000,4,1.75e-05,8.477076352881683e-06,3.612649527441641e-05,3.448559522628784
7,0.00153413,97,336,1558,51,400000,4,0.0001275,9.698233305822912e-05,0.00016761912570936093,4.789353609085083
7,0.00235355,97,336,1558,206,400000,4,0.000515,0.00044932377474830366,0.0005902702409907694,5.25745701789856
7,0.00361064,97,336,1558,1175,400000,4,0.0029375,0.0027744899635274403,0.003110057521278516,8.396958351135254
7,0.00553918,97,336,1558,5756,400000,4,0.01439,0.014025565823589884,0.01476376168370874,10.816990613937378
7,0.00849781,97,336,1558,25344,400000,4,0.06336,0.06260923226378805,0.06411915463678415,16.503895044326782
7,0.01303673,97,336,1558,81516,400000,4,0.20379,0.20254451201749918,0.20504117752953843,26.793261528015137
7,0.02,97,336,1558,162054,400000,4,0.405135,0.403614546993135,0.4066572751562852,40.779839277267456
9,0.001,161,720,3534,1,400000,4,2.5e-06,4.4130017201882584e-07,1.416255957251219e-05,9.147050857543945
9,0.00153413,161,720,3534,5,400000,4,1.25e-05,5.339185522640891e-06,2.926448214373485e-05,9.662358522415161
9,0.00235355,161,720,3534,77,400000,4,0.0001925,0.0001540399922192419,0.00024056021804033878,12.767615795135498
9,0.00361064,161,720,3534,549,400000,4,0.0013725,0.0012624575732427088,0.0014921199717945486,19.539567708969116
9,0.00553918,161,720,3534,4306,400000,4,0.010765,0.010449862371289914,0.011089534764339997,25.60326862335205
9,0.00849781,161,720,3534,27432,400000,4,0.06858,0.06780089118412543,0.06936739545164973,42.24245262145996
9,0.01303673,161,720,3534,104919,400000,4,0.2622975,0.2609365743193211,0.2636629914264496,72.94527816772461
9,0.02,161,720,3534,186410,400000,4,0.466025,0.4644793989818135,0.46757125360371926,106.15223360061646
